number,latitude,longitude
79,-74.0176294717884,40.710395760713595
80,-74.01591803934478,40.70911322322226
81,-74.0161986420365,40.71476677036626
82,-74.01595116007694,40.715093402014766
83,-74.0167388514644,40.71542103991155
84,-74.01559988328772,40.71554524157023
85,-74.01470959112501,40.68742773413656
86,-74.01489178643271,40.68762937170034
87,-74.01500867465197,40.68763376002569
88,-74.01466616066611,40.687953042523276
89,-74.01482570257052,40.688106207523994
90,-74.01441723662269,40.68812770244941
91,-74.01281095917224,40.69108945643263
92,-74.01447714018435,40.69122112282649
93,-74.01276602858228,40.69126662837363
94,-74.01260737007813,40.6910264979293
95,-74.01225869869239,40.69102291553585
96,-74.01482199632359,40.70139037323189
97,-74.01431840479485,40.70122874375685
98,-74.01266346194075,40.701813009765225
99,-74.01255063454049,40.70150569632164
100,-74.01442983223477,40.70315064724486
101,-74.01439176843407,40.70359878265598
102,-74.0129978386201,40.70309951570525
103,-74.01425523960957,40.70442547202528
104,-74.01311347985524,40.70358716569883
105,-74.01374945791278,40.70238955043777
106,-74.01383441099377,40.70240570084345
107,-74.01159382676036,40.70357868388568
108,-74.01318764333153,40.70404271706587
109,-74.01326979423443,40.70455349671298
110,-74.01157634460344,40.704019450078775
111,-74.01287851628065,40.702664500890904
112,-74.01282671107717,40.70240862624726
113,-74.01231160786891,40.702686532711056
114,-74.01257015342394,40.7032068411688
115,-74.01159675016183,40.7034466604734
116,-74.01218311179981,40.702741276788025
117,-74.01205204362083,40.70279236491274
118,-74.01191858082538,40.70283972861916
119,-74.01178290682554,40.702883301242366
120,-74.01164520858637,40.70292302422248
121,-74.01150567189198,40.70295884350296
122,-74.0111655805861,40.701781493814075
123,-74.01034630651658,40.703268477446784
124,-74.01064454804461,40.70369501363394
125,-74.01505455383074,40.70524539947751
126,-74.01461987069663,40.706140366663625
127,-74.01510283457935,40.7064594365321
128,-74.01495065481197,40.704808926983695
129,-74.01439671037497,40.70609988978878
130,-74.01456078600026,40.70638389674086
131,-74.01469808306487,40.70740361197881
132,-74.01438184461057,40.70822414368665
133,-74.01433649682713,40.70623720817976
134,-74.01444940939332,40.70643667984042
135,-74.01443054432013,40.706483986068
136,-74.0144042214014,40.70652918242707
137,-74.0143708380784,40.70657159167846
138,-74.01433089238887,40.70661057799303
139,-74.0142849841527,40.70664555595723
140,-74.01423380195823,40.70667600228178
141,-74.01417811369609,40.706701458504824
142,-74.01430040438242,40.70627688379721
143,-74.01425392109644,40.70631108648173
144,-74.01419949954413,40.70633764568595
145,-74.01414046816522,40.70635526155188
146,-74.0139602988348,40.70711101064787
147,-74.0135919685856,40.70796734184087
148,-74.01351885419912,40.7069432710726
149,-74.0133261081166,40.7050307883383
150,-74.01335309862243,40.70519857661797
151,-74.01335946222726,40.705368655483184
152,-74.01334484807265,40.70553882682938
153,-74.01330942949448,40.70570683124531
154,-74.01325396323594,40.70587051370098
155,-74.01262946683705,40.70500276101725
156,-74.01250773989558,40.706767065268835
157,-74.01337315479935,40.70714645244075
158,-74.01296134470824,40.70777032059456
159,-74.0125872192913,40.704670693012005
160,-74.01154980978917,40.7049507347974
161,-74.01194691352981,40.7074515314142
162,-74.01187330272555,40.70655140686734
163,-74.01405467088311,40.70907749039462
164,-74.01388897902918,40.70949773396931
165,-74.01368987557684,40.71006221519529
166,-74.01326253160049,40.708731067730376
167,-74.01308187685018,40.7091469804268
168,-74.01299279815206,40.709354270141056
169,-74.01283896772478,40.709709980233676
170,-74.012666469207,40.71014892098023
171,-74.01214432841623,40.70899264551262
172,-74.01170249884525,40.70775571318711
173,-74.01193492687148,40.70930588315881
174,-74.01167376211146,40.70968740241337
175,-74.0142888891963,40.71538473730449
176,-74.01537987851316,40.71582999900621
177,-74.01254692484775,40.71316685620248
178,-74.01232736511967,40.71394077054512
179,-74.01000876174713,40.70206100203826
180,-74.01092128165145,40.701740914073056
181,-74.00996982939193,40.70195968882788
182,-74.01089391183561,40.70166781221061
183,-74.00993626282828,40.701903562825756
184,-74.01156918175384,40.70424893087495
185,-74.010496110706,40.70380470058009
186,-74.00898755324148,40.70408482794095
187,-74.00945463906459,40.70452785663328
188,-74.01070637394854,40.704140707129746
189,-74.0106149271339,40.70417928541204
190,-74.0105263704001,40.70422158967421
191,-74.01044096522547,40.70426749292705
192,-74.01035896362335,40.70431686097857
193,-74.01028060932451,40.704369547030794
194,-74.01020613304482,40.70442539618273
195,-74.01013575485143,40.704484243628826
196,-74.01006968297959,40.704545913758494
197,-74.00974639348563,40.704775247847685
198,-74.00890108872858,40.704861846471715
199,-74.00878919259473,40.70421090227641
200,-74.00854172541308,40.70369761126669
201,-74.00832500862036,40.703812928657165
202,-74.0081264528701,40.70467179677717
203,-74.00795926124337,40.703197950975905
